prompt_id,instruction_text,target_phrase,display_text,label_type,recording_mode,target_repetition_count,contains_vigil,wake_intent,segmentation_required,expected_transcript
POS_SINGLE_001,"Please say this once.","Vigil","Vigil",positive_single,single,1,true,true,false,"Vigil"
POS_SINGLE_002,"Please say this once.","Hey Vigil","Hey Vigil",positive_single,single,1,true,true,false,"Hey Vigil"
POS_SINGLE_003,"Please say this once.","Hi Vigil","Hi Vigil",positive_single,single,1,true,true,false,"Hi Vigil"
POS_SINGLE_004,"Please say this once.","Vigil next","Vigil next",positive_single,single,1,true,true,false,"Vigil next"
POS_SINGLE_005,"Please say this once.","Vigil previous","Vigil previous",positive_single,single,1,true,true,false,"Vigil previous"
POS_SINGLE_006,"Please say this once.","Vigil capture this image","Vigil capture this image",positive_single,single,1,true,true,false,"Vigil capture this image"
POS_SINGLE_007,"Please say this once.","Vigil save this frame","Vigil save this frame",positive_single,single,1,true,true,false,"Vigil save this frame"
POS_SINGLE_008,"Please say this once.","Vigil what is the next step","Vigil what is the next step",positive_single,single,1,true,true,false,"Vigil what is the next step"
POS_REPEAT_001,"Please say this phrase five times, with a short pause between each time.","Vigil","Say ""Vigil"" five times",positive_repeated,repeat,5,true,true,true,"Vigil"
POS_REPEAT_002,"Please say this phrase five times, with a short pause between each time.","Hey Vigil","Say ""Hey Vigil"" five times",positive_repeated,repeat,5,true,true,true,"Hey Vigil"
POS_REPEAT_003,"Please say this phrase five times, with a short pause between each time.","Hi Vigil","Say ""Hi Vigil"" five times",positive_repeated,repeat,5,true,true,true,"Hi Vigil"
POS_REPEAT_004,"Please say this phrase three times, with a short pause between each time.","Vigil next","Say ""Vigil next"" three times",positive_repeated,repeat,3,true,true,true,"Vigil next"
POS_REPEAT_005,"Please say this phrase three times, with a short pause between each time.","Vigil previous","Say ""Vigil previous"" three times",positive_repeated,repeat,3,true,true,true,"Vigil previous"
POS_SENT_001,"Please say this sentence once.","Vigil, what is the next step?","Vigil, what is the next step?",positive_sentence,single,1,true,true,false,"Vigil, what is the next step?"
POS_SENT_002,"Please say this sentence once.","Vigil, can you save this frame?","Vigil, can you save this frame?",positive_sentence,single,1,true,true,false,"Vigil, can you save this frame?"
POS_SENT_003,"Please say this sentence once.","I want Vigil to capture this image.","I want Vigil to capture this image.",positive_sentence,single,1,true,true,false,"I want Vigil to capture this image."
POS_SENT_004,"Please say this sentence once.","Can you help me, Vigil?","Can you help me, Vigil?",positive_sentence,single,1,true,true,false,"Can you help me, Vigil?"
NEG_GENERAL_001,"Please say this sentence once.","Please move the probe to the left.","Please move the probe to the left.",negative_general,single,1,false,false,false,"Please move the probe to the left."
NEG_GENERAL_002,"Please say this sentence once.","This is a good view.","This is a good view.",negative_general,single,1,false,false,false,"This is a good view."
NEG_GENERAL_003,"Please say this sentence once.","Can you save this image?","Can you save this image?",negative_general,single,1,false,false,false,"Can you save this image?"
NEG_GENERAL_004,"Please say this sentence once.","Go to the next one.","Go to the next one.",negative_general,single,1,false,false,false,"Go to the next one."
NEG_GENERAL_005,"Please say this sentence once.","The ultrasound image is clear.","The ultrasound image is clear.",negative_general,single,1,false,false,false,"The ultrasound image is clear."
NEG_HARD_001,"Please say this sentence once.","This is a visual input.","This is a visual input.",negative_hard,single,1,false,false,false,"This is a visual input."
NEG_HARD_002,"Please say this sentence once.","The video is clear.","The video is clear.",negative_hard,single,1,false,false,false,"The video is clear."
NEG_HARD_003,"Please say this sentence once.","The vital signs are normal.","The vital signs are normal.",negative_hard,single,1,false,false,false,"The vital signs are normal."
NEG_HARD_004,"Please say this sentence once.","Virgil is a person's name.","Virgil is a person's name.",negative_hard,single,1,false,false,false,"Virgil is a person's name."
NEG_HARD_005,"Please say this sentence once.","The image is visible.","The image is visible.",negative_hard,single,1,false,false,false,"The image is visible."
